wage,Educ,Urban,Exp,Exp^2,NE,NC,W,S,Ability,Father_E,Mother_E,Married,I(E>=12),I(E>=16),E(E>=12),E(E>=16),E*A,A(E>=12),A(E>=16),E*F_E,E*M_E,E*NC,E*N,E*S,E*Urban,E*Unemp,Unemploy
0.43825493,12.0,1.0,15.0,225.0,0.0,0.0,0.0,1.0,1.82970651,12.0,12.0,0.0,1.0,0.0,12.0,0.0,21.95647811,1.82970651,0.0,144.0,144.0,0.0,0.0,12.0,12.0,58.8,4.9
0.87546874,12.0,1.0,12.0,144.0,0.0,0.0,0.0,1.0,0.36948054,12.0,12.0,0.0,1.0,0.0,12.0,0.0,4.43376647,0.36948054,0.0,144.0,144.0,0.0,0.0,12.0,12.0,58.8,4.9
3.17930305,11.0,1.0,13.0,169.0,0.0,0.0,0.0,1.0,0.87155658,12.0,12.0,0.0,0.0,0.0,0.0,0.0,9.58712239,0.0,0.0,132.0,132.0,0.0,0.0,11.0,11.0,53.9,4.9
1.70474809,9.0,1.0,13.0,169.0,0.0,1.0,0.0,0.0,-1.86094989,10.0,14.0,0.0,0.0,0.0,0.0,0.0,-16.74854904,0.0,0.0,90.0,126.0,9.0,0.0,0.0,9.0,43.2,4.8
2.38047163,16.0,1.0,11.0,121.0,0.0,0.0,0.0,1.0,1.00361415,11.0,11.0,1.0,1.0,1.0,16.0,16.0,16.05782637,1.00361415,1.00361415,176.0,176.0,0.0,0.0,16.0,16.0,96.0,6.0
2.24707238,15.0,1.0,5.0,25.0,0.0,0.0,0.0,1.0,2.43916823,14.0,17.0,1.0,1.0,0.0,15.0,0.0,36.58752353,2.43916823,0.0,210.0,255.0,0.0,0.0,15.0,15.0,67.5,4.5
2.42036813,9.0,0.0,14.0,196.0,0.0,0.0,0.0,1.0,0.09862651,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.88763859,0.0,0.0,81.0,63.0,0.0,0.0,9.0,0.0,49.5,5.5
1.97546895,8.0,1.0,13.0,169.0,0.0,0.0,0.0,1.0,-1.50027621,8.0,8.0,1.0,0.0,0.0,0.0,0.0,-12.00220967,0.0,0.0,64.0,64.0,0.0,0.0,8.0,8.0,44.0,5.5
1.79175947,8.0,0.0,19.0,361.0,0.0,0.0,0.0,1.0,-0.80885051,6.0,3.0,0.0,0.0,0.0,0.0,0.0,-6.4708041,0.0,0.0,48.0,24.0,0.0,0.0,8.0,0.0,44.0,5.5
2.2782924,12.0,1.0,10.0,100.0,0.0,0.0,0.0,1.0,-3.67797607,6.0,3.0,1.0,1.0,0.0,12.0,0.0,-44.13571286,-3.67797607,0.0,72.0,36.0,0.0,0.0,12.0,12.0,37.2,3.1
2.73306796,13.0,0.0,14.0,196.0,0.0,0.0,0.0,1.0,3.69353797,11.0,11.0,1.0,1.0,0.0,13.0,0.0,48.01599359,3.69353797,0.0,143.0,143.0,0.0,0.0,13.0,0.0,71.5,5.5
2.56494936,12.0,1.0,12.0,144.0,0.0,0.0,0.0,1.0,1.30609363,8.0,14.0,1.0,1.0,0.0,12.0,0.0,15.67312356,1.30609363,0.0,96.0,168.0,0.0,0.0,12.0,12.0,100.8,8.4
2.30258509,9.0,1.0,13.0,169.0,0.0,0.0,0.0,1.0,-3.16864786,9.0,8.0,1.0,0.0,0.0,0.0,0.0,-28.51783073,0.0,0.0,81.0,72.0,0.0,0.0,9.0,9.0,49.5,5.5
1.59736533,10.0,1.0,10.0,100.0,0.0,0.0,0.0,1.0,-2.42351095,10.0,9.0,1.0,0.0,0.0,0.0,0.0,-24.23510955,0.0,0.0,100.0,90.0,0.0,0.0,10.0,10.0,55.0,5.5
1.34807315,12.0,0.0,15.0,225.0,0.0,0.0,0.0,1.0,-0.97966991,11.0,4.0,1.0,1.0,0.0,12.0,0.0,-11.75603891,-0.97966991,0.0,132.0,48.0,0.0,0.0,12.0,0.0,66.0,5.5
1.83258146,9.0,0.0,16.0,256.0,0.0,0.0,0.0,1.0,-3.23546032,9.0,3.0,1.0,0.0,0.0,0.0,0.0,-29.1191429,0.0,0.0,81.0,27.0,0.0,0.0,9.0,0.0,49.5,5.5
2.60638655,12.0,1.0,14.0,196.0,0.0,0.0,0.0,1.0,1.6278167,10.0,12.0,1.0,1.0,0.0,12.0,0.0,19.53380039,1.6278167,0.0,120.0,144.0,0.0,0.0,12.0,12.0,66.0,5.5
2.3580198,12.0,1.0,10.0,100.0,0.0,0.0,0.0,1.0,-1.18580825,11.0,12.0,1.0,1.0,0.0,12.0,0.0,-14.229699,-1.18580825,0.0,132.0,144.0,0.0,0.0,12.0,12.0,100.8,8.4
2.07944154,12.0,1.0,9.0,81.0,0.0,0.0,0.0,1.0,-0.36994242,11.0,12.0,0.0,1.0,0.0,12.0,0.0,-4.43930898,-0.36994242,0.0,132.0,144.0,0.0,0.0,12.0,12.0,66.0,5.5
2.2512918,12.0,0.0,9.0,81.0,0.0,0.0,0.0,1.0,1.43377403,12.0,12.0,1.0,1.0,0.0,12.0,0.0,17.20528839,1.43377403,0.0,144.0,144.0,0.0,0.0,12.0,0.0,66.0,5.5
2.44495233,12.0,1.0,15.0,225.0,0.0,0.0,0.0,1.0,-2.6055585,12.0,12.0,1.0,1.0,0.0,12.0,0.0,-31.26670195,-2.6055585,0.0,144.0,144.0,0.0,0.0,12.0,12.0,66.0,5.5
2.82256865,16.0,1.0,5.0,25.0,0.0,0.0,0.0,1.0,2.98386064,14.0,20.0,1.0,1.0,1.0,16.0,16.0,47.7417702,2.98386064,2.98386064,224.0,320.0,0.0,0.0,16.0,16.0,73.6,4.6
2.30258509,12.0,1.0,11.0,121.0,0.0,0.0,0.0,1.0,2.00184944,11.0,11.0,0.0,1.0,0.0,12.0,0.0,24.02219331,2.00184944,0.0,132.0,132.0,0.0,0.0,12.0,12.0,66.0,5.5
2.08069076,12.0,0.0,12.0,144.0,0.0,0.0,0.0,1.0,-0.09693842,14.0,16.0,1.0,1.0,0.0,12.0,0.0,-1.16326103,-0.09693842,0.0,168.0,192.0,0.0,0.0,12.0,0.0,66.0,5.5
2.63905733,12.0,1.0,11.0,121.0,0.0,0.0,1.0,0.0,0.42950456,16.0,16.0,0.0,1.0,0.0,12.0,0.0,5.15405472,0.42950456,0.0,192.0,192.0,0.0,0.0,0.0,12.0,42.0,3.5
2.23537634,12.0,1.0,9.0,81.0,0.0,0.0,0.0,1.0,0.7490018,12.0,10.0,0.0,1.0,0.0,12.0,0.0,8.98802164,0.7490018,0.0,144.0,120.0,0.0,0.0,12.0,12.0,66.0,5.5
2.36555989,14.0,1.0,8.0,64.0,0.0,0.0,0.0,1.0,2.33120527,12.0,16.0,1.0,1.0,0.0,14.0,0.0,32.63687383,2.33120527,0.0,168.0,224.0,0.0,0.0,14.0,14.0,63.0,4.5
2.09924417,12.0,0.0,10.0,100.0,0.0,0.0,0.0,1.0,3.34492316,12.0,14.0,1.0,1.0,0.0,12.0,0.0,40.13907796,3.34492316,0.0,144.0,168.0,0.0,0.0,12.0,0.0,74.4,6.2
2.73306796,16.0,1.0,8.0,64.0,0.0,0.0,0.0,1.0,1.18697957,10.0,20.0,0.0,1.0,1.0,16.0,16.0,18.99167305,1.18697957,1.18697957,160.0,320.0,0.0,0.0,16.0,16.0,65.6,4.1
1.60943791,11.0,1.0,12.0,144.0,0.0,0.0,0.0,1.0,-4.11834565,6.0,4.0,1.0,0.0,0.0,0.0,0.0,-45.30180212,0.0,0.0,66.0,44.0,0.0,0.0,11.0,11.0,49.5,4.5
2.11986346,8.0,0.0,13.0,169.0,0.0,0.0,0.0,1.0,0.80258502,12.0,11.0,0.0,0.0,0.0,0.0,0.0,6.4206802,0.0,0.0,96.0,88.0,0.0,0.0,8.0,0.0,49.6,6.2
1.79175947,12.0,1.0,15.0,225.0,0.0,0.0,0.0,1.0,0.61332714,10.0,10.0,0.0,1.0,0.0,12.0,0.0,7.35992565,0.61332714,0.0,120.0,120.0,0.0,0.0,12.0,12.0,54.0,4.5
2.54788145,12.0,1.0,15.0,225.0,0.0,0.0,0.0,1.0,0.42429224,12.0,7.0,1.0,1.0,0.0,12.0,0.0,5.09150689,0.42429224,0.0,144.0,84.0,0.0,0.0,12.0,12.0,54.0,4.5
